Source,Target
0,1
0,4
0,5
0,6
0,7
0,15
0,16
0,18
1,0
1,3
1,4
1,6
1,8
1,12
1,13
1,17
2,3
2,4
2,5
2,6
2,16
2,17
2,18
2,19
3,0
3,2
3,5
3,7
3,10
3,12
3,13
3,15
4,0
4,3
4,5
4,7
4,8
4,9
4,14
4,17
5,0
5,6
5,7
5,11
5,12
5,16
5,18
6,2
6,4
6,9
6,12
6,13
6,14
6,16
6,17
7,1
7,2
7,8
7,9
7,11
7,13
7,17
8,3
8,5
8,9
8,11
8,15
8,17
8,18
8,19
9,2
9,3
9,4
9,5
9,6
9,10
9,11
9,15
10,0
10,2
10,5
10,6
10,7
10,12
10,13
10,16
11,4
11,6
11,7
11,9
11,10
11,14
11,15
11,19
12,0
12,1
12,9
12,10
12,11
12,12
12,15
12,16
13,0
13,3
13,6
13,8
13,12
13,14
13,17
13,19
14,0
14,1
14,3
14,4
14,7
14,10
14,12
14,18
15,2
15,3
15,7
15,8
15,9
15,11
15,14
15,19
16,1
16,4
16,6
16,7
16,8
16,9
16,10
16,12
17,0
17,2
17,5
17,8
17,11
17,12
17,13
17,15
18,0
18,2
18,3
18,9
18,12
18,16
18,17
18,19
19,1
19,3
19,4
19,7
19,8
19,12
19,17
19,18
